PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;annex_i_6;Put in place systems and processes to identify, track, manage and monitor the status of patches to servers, operating system and application software running at the systems used by the UCB officials (end-users). Implement and update antivirus protection for all servers and applicable end points preferably through a centralised system.;;;;defender;;FAIL;Defender plan Defender for Databases from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/SqlServers;defender_ensure_defender_for_databases_is_on;False;SqlServers;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;annex_i_6;Put in place systems and processes to identify, track, manage and monitor the status of patches to servers, operating system and application software running at the systems used by the UCB officials (end-users). Implement and update antivirus protection for all servers and applicable end points preferably through a centralised system.;;;;defender;;FAIL;Defender plan Defender for DNS from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/Dns;defender_ensure_defender_for_dns_is_on;False;Defender plan DNS;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;annex_i_6;Put in place systems and processes to identify, track, manage and monitor the status of patches to servers, operating system and application software running at the systems used by the UCB officials (end-users). Implement and update antivirus protection for all servers and applicable end points preferably through a centralised system.;;;;defender;;FAIL;Defender plan Defender for KeyVaults from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/KeyVaults;defender_ensure_defender_for_keyvault_is_on;False;Defender plan KeyVaults;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;annex_i_6;Put in place systems and processes to identify, track, manage and monitor the status of patches to servers, operating system and application software running at the systems used by the UCB officials (end-users). Implement and update antivirus protection for all servers and applicable end points preferably through a centralised system.;;;;defender;;FAIL;Defender plan Defender for Servers from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/VirtualMachines;defender_ensure_defender_for_server_is_on;False;Defender plan Servers;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;annex_i_6;Put in place systems and processes to identify, track, manage and monitor the status of patches to servers, operating system and application software running at the systems used by the UCB officials (end-users). Implement and update antivirus protection for all servers and applicable end points preferably through a centralised system.;;;;defender;;FAIL;Defender plan Defender for SQL Server VMs from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/SqlServerVirtualMachines;defender_ensure_defender_for_sql_servers_is_on;False;Defender plan SQL Server VMs;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;annex_i_6;Put in place systems and processes to identify, track, manage and monitor the status of patches to servers, operating system and application software running at the systems used by the UCB officials (end-users). Implement and update antivirus protection for all servers and applicable end points preferably through a centralised system.;;;;defender;;FAIL;Defender plan Defender for Storage Accounts from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/StorageAccounts;defender_ensure_defender_for_storage_is_on;False;Defender plan Storage Accounts;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;monitor;;PASS;Microsoft Defender for Cloud Apps is enabled for subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/settings/MCAS;defender_ensure_mcas_is_enabled;False;MCAS;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;843e85de-3f5f-4614-967a-9f39f1fe9ba7;global;2026-06-27 09:46:44.662891;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;monitor;;PASS;Microsoft Defender for Endpoint integration is enabled for subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/settings/WDATP;defender_ensure_wdatp_is_enabled;False;WDATP;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;e1a014d8-2ca2-4275-8220-414092cd8ed6;global;2026-06-27 09:46:44.662891;annex_i_7_2;Passwords should be set as complex and lengthy and users should not use same passwords for all the applications/systems/devices.;;;;entra;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;Conditional Access Policy;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
azure;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;e1a014d8-2ca2-4275-8220-414092cd8ed6;global;2026-06-27 09:46:44.662891;annex_i_7_1;Disallow administrative rights on end-user workstations/PCs/laptops and provide access rights on a 'need to know' and 'need to do' basis.;;;;iam;;PASS;There are 0 global administrators.;9b0fb422-f474-43cc-9cd7-5e92ffca10b6;entra_global_admin_in_less_than_five_users;False;Global Administrator;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
