PROVIDER;DESCRIPTION;SUBSCRIPTIONID;LOCATION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IDGRUPOCONTROL;REQUIREMENTS_ATTRIBUTES_MARCO;REQUIREMENTS_ATTRIBUTES_CATEGORIA;REQUIREMENTS_ATTRIBUTES_DESCRIPCIONCONTROL;REQUIREMENTS_ATTRIBUTES_NIVEL;REQUIREMENTS_ATTRIBUTES_TIPO;REQUIREMENTS_ATTRIBUTES_DIMENSIONES;REQUIREMENTS_ATTRIBUTES_MODOEJECUCION;REQUIREMENTS_ATTRIBUTES_DEPENDENCIAS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.2.az.rbac.1;Requisitos de acceso;op.acc.2;operacional;control de acceso;Se debe aplicar la restricción de acceso al portal de Azure y la habilitación de Microsoft Entra Protection para minimizar los riesgos de inicio de sesión y comportamientos inusuales.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Non-privileged users are able to create security groups via the Access Panel and the Azure administration portal.;authorizationPolicy;entra_policy_default_users_cannot_create_security_groups;False;Authorization Policy;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.2.az.rbac.1;Requisitos de acceso;op.acc.2;operacional;control de acceso;Se debe aplicar la restricción de acceso al portal de Azure y la habilitación de Microsoft Entra Protection para minimizar los riesgos de inicio de sesión y comportamientos inusuales.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Tenants creation is not disabled for non-admin users.;authorizationPolicy;entra_policy_ensure_default_user_cannot_create_tenants;False;Authorization Policy;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;opc.acc.5.az.eid.1;Mecanismo de autenticación (usuarios externos);op.acc.5;operacional;control de acceso;El usuario externo deberá contar con un usuario de la organización creado y gestionado para sus actividades de colaboración durante el período de tiempo definido en el contrato, de igual manera que el mecanismo de autenticación (usuarios de la organización) y será gestionado en la organización con Microsoft Entra.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Guest invitations are not restricted to users with specific administrative roles only.;authorizationPolicy;entra_policy_guest_invite_only_for_admin_roles;False;Authorization Policy;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;opc.acc.5.az.eid.1;Mecanismo de autenticación (usuarios externos);op.acc.5;operacional;control de acceso;El usuario externo deberá contar con un usuario de la organización creado y gestionado para sus actividades de colaboración durante el período de tiempo definido en el contrato, de igual manera que el mecanismo de autenticación (usuarios de la organización) y será gestionado en la organización con Microsoft Entra.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Guest user access is not restricted to properties and memberships of their own directory objects;authorizationPolicy;entra_policy_guest_users_access_restrictions;False;Authorization Policy;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.2.az.r1.eid.1;Privilegios de acceso;op.acc.2.r1;operacional;control de acceso;Requisito de la configuración a través de la aplicación de roles RBAC;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Entra allows users to consent apps accessing company data on their behalf;authorizationPolicy;entra_policy_restricts_user_consent_for_apps;False;Authorization Policy;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.2.az.r1.eid.1;Privilegios de acceso;op.acc.2.r1;operacional;control de acceso;Requisito de la configuración a través de la aplicación de roles RBAC;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Entra does not allow users to consent non-verified apps accessing company data on their behalf.;authorizationPolicy;entra_policy_user_consent_for_verified_apps;False;Authorization Policy;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.5.r2.az.eid.1;Contraseña + OTP;op.acc.5.r2;operacional;control de acceso;Proteger el acceso a los datos y aplicaciones a travez de la autenticación multifactor (MFA) de Microsoft Entra;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Entra security defaults is enabled.;00000000-0000-0000-0000-000000000005;entra_security_defaults_enabled;False;Security Defaults;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.5.r5.az.eid.1;Registro;op.acc.5.r5;operacional;control de acceso;Habilitar los valores de seguridad de Entra Id por defecto;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Entra security defaults is enabled.;00000000-0000-0000-0000-000000000005;entra_security_defaults_enabled;False;Security Defaults;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.6.r2.az.eid.1;Contraseña + otro factor de autenticación;op.acc.6.r2;operacional;control de acceso;Proteger el acceso a los datos y aplicaciones a travez de la autenticación multifactor (MFA) de Microsoft Entra;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Entra security defaults is enabled.;00000000-0000-0000-0000-000000000005;entra_security_defaults_enabled;False;Security Defaults;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.6.r5.az.eid.1;Registro de la actividad;op.acc.6.r5;operacional;control de acceso;Registro de la actividad en la sesión del usuario configurando los valores de seguridad por defecto.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Entra security defaults is enabled.;00000000-0000-0000-0000-000000000005;entra_security_defaults_enabled;False;Security Defaults;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.mon.1.az.nw.1;Detección de intrusión;op.mon.1 ;operacional;monitorización del sistema;Activación del Network Watcher para la captura de paquetes y detección del tráfico de la red.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Entra security defaults is enabled.;00000000-0000-0000-0000-000000000005;entra_security_defaults_enabled;False;Security Defaults;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.exp.8.az.md.1;Registro de la actividad;op.exp.8;operacional;explotación;Se habilitará el monitor de diagnóstico para cada categoría usada dentro de la subscripción.;alto;requisito;trazabilidad;automático;;FAIL;There is no trusted location with IP ranges defined.;e1a014d8-2ca2-4275-8220-414092cd8ed6;entra_trusted_named_locations_exists;False;vigneshrajaramasamygmail.onmicrosoft.com;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Tenant: vigneshrajaramasamygmail.onmicrosoft.com;global;2026-06-27 09:46:44.662891;op.acc.2.az.r1.eid.1;Privilegios de acceso;op.acc.2.r1;operacional;control de acceso;Requisito de la configuración a través de la aplicación de roles RBAC;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Users can create Microsoft 365 groups.;e1a014d8-2ca2-4275-8220-414092cd8ed6;entra_users_cannot_create_microsoft_365_groups;False;vigneshrajaramasamygmail.onmicrosoft.com;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;centralindia;2026-06-27 09:46:44.662891;op.acc.5.r3.az.kv.1;Certificados;op.acc.5.r3;operacional;control de acceso;Utilizar el servicio KEY Vault para la gestión de certificados asociados a Cloud Services;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Key Vault ref3tierkv7mog1c in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) does not have a diagnostic setting with audit logging.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.KeyVault/vaults/ref3tierkv7mog1c;keyvault_logging_enabled;False;ref3tierkv7mog1c;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;centralindia;2026-06-27 09:46:44.662891;op.acc.6.r3.az.kv.1;Certificados;op.acc.6.r3;operacional;control de acceso;Utilizar el servicio KEY Vault para la gestión de certificados asociados a Cloud Services;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Key Vault ref3tierkv7mog1c in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) does not have a diagnostic setting with audit logging.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.KeyVault/vaults/ref3tierkv7mog1c;keyvault_logging_enabled;False;ref3tierkv7mog1c;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;centralindia;2026-06-27 09:46:44.662891;op.exp.10.az.kv.2;Protección de claves criptográficas;op.exp.10 ;operacional;explotación;Habilitación de las claves criptográficas para las cuentas de almacenamiento;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Keyvault ref3tierkv7mog1c from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is not using private endpoints.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.KeyVault/vaults/ref3tierkv7mog1c;keyvault_private_endpoints;False;ref3tierkv7mog1c;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;centralindia;2026-06-27 09:46:44.662891;mp.com.4.r2.az.aks.1;Segmentación lógica avanzada;mp.com.4.r2;medidas de protección;protección de las comunicaciones;Habilitar las políticas de red para AKS;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Keyvault ref3tierkv7mog1c from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is not using private endpoints.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.KeyVault/vaults/ref3tierkv7mog1c;keyvault_private_endpoints;False;ref3tierkv7mog1c;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;centralindia;2026-06-27 09:46:44.662891;op.acc.2.az.r1.eid.1;Privilegios de acceso;op.acc.2.r1;operacional;control de acceso;Requisito de la configuración a través de la aplicación de roles RBAC;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Keyvault ref3tierkv7mog1c from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is using RBAC for access control.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.KeyVault/vaults/ref3tierkv7mog1c;keyvault_rbac_enabled;False;ref3tierkv7mog1c;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;centralindia;2026-06-27 09:46:44.662891;op.acc.5.r3.az.kv.1;Certificados;op.acc.5.r3;operacional;control de acceso;Utilizar el servicio KEY Vault para la gestión de certificados asociados a Cloud Services;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Keyvault ref3tierkv7mog1c from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is using RBAC for access control.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.KeyVault/vaults/ref3tierkv7mog1c;keyvault_rbac_enabled;False;ref3tierkv7mog1c;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;centralindia;2026-06-27 09:46:44.662891;op.acc.6.r3.az.kv.1;Certificados;op.acc.6.r3;operacional;control de acceso;Utilizar el servicio KEY Vault para la gestión de certificados asociados a Cloud Services;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Keyvault ref3tierkv7mog1c from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is using RBAC for access control.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.KeyVault/vaults/ref3tierkv7mog1c;keyvault_rbac_enabled;False;ref3tierkv7mog1c;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;centralindia;2026-06-27 09:46:44.662891;op.acc.6.r1.az.eid.2;Contraseñas;op.acc.6.r1;operacional;control de acceso;Las credenciales deberan rotarse cada 90 días o menos;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Secret sql-admin-password in Key Vault ref3tierkv7mog1c from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) does not have an expiration date set.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.KeyVault/vaults/ref3tierkv7mog1c/secrets/sql-admin-password;keyvault_rbac_secret_expiration_set;False;sql-admin-password;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;centralindia;2026-06-27 09:46:44.662891;op.exp.10.az.kv.1;Protección de claves criptográficas;op.exp.10 ;operacional;explotación;Configuración de KEY Vault, limitando el acceso a administradores.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Keyvault ref3tierkv7mog1c from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is not recoverable.;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/resourceGroups/ref3tier-dev-rg/providers/Microsoft.KeyVault/vaults/ref3tierkv7mog1c;keyvault_recoverable;False;ref3tierkv7mog1c;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.mon.2.r1.az.ma.1;Efectividad del sistema de incidentes;op.mon.2.r1 ;operacional;monitorización del sistema;Configurar el monitor de alerta para los cambios en los elementos de seguridad habilitados.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;There is not an alert for creating Policy Assignments in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_create_policy_assignment;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.mon.2.r1.az.ma.1;Efectividad del sistema de incidentes;op.mon.2.r1 ;operacional;monitorización del sistema;Configurar el monitor de alerta para los cambios en los elementos de seguridad habilitados.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;There is not an alert for creating/updating Network Security Groups in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_create_update_nsg;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.mon.2.r1.az.ma.1;Efectividad del sistema de incidentes;op.mon.2.r1 ;operacional;monitorización del sistema;Configurar el monitor de alerta para los cambios en los elementos de seguridad habilitados.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;There is not an alert for creating/updating Public IP address rule in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_create_update_public_ip_address_rule;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.mon.2.r1.az.ma.1;Efectividad del sistema de incidentes;op.mon.2.r1 ;operacional;monitorización del sistema;Configurar el monitor de alerta para los cambios en los elementos de seguridad habilitados.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;There is not an alert for creating/updating Security Solution in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_create_update_security_solution;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.mon.3.r6.az.ma.1;Inspecciones de seguridad;op.mon.3.r6 ;operacional;monitorización del sistema;Utilizar las alertas para las inspecciones de seguridad;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;There is not an alert for creating/updating Security Solution in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_create_update_security_solution;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.mon.2.r1.az.ma.1;Efectividad del sistema de incidentes;op.mon.2.r1 ;operacional;monitorización del sistema;Configurar el monitor de alerta para los cambios en los elementos de seguridad habilitados.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;There is not an alert for creating/updating SQL Server firewall rule in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_create_update_sqlserver_fr;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.acc.6.r5.az.eid.2;Registro de la actividad;op.acc.6.r5;operacional;control de acceso;El registro de actividad de eliminación en los servicios de la nube debe de estar habilitado.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;There is not an alert for deleting Network Security Groups in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_delete_nsg;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.acc.6.r5.az.eid.2;Registro de la actividad;op.acc.6.r5;operacional;control de acceso;El registro de actividad de eliminación en los servicios de la nube debe de estar habilitado.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;There is not an alert for deleting policy assignment in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_delete_policy_assignment;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.acc.6.r5.az.eid.2;Registro de la actividad;op.acc.6.r5;operacional;control de acceso;El registro de actividad de eliminación en los servicios de la nube debe de estar habilitado.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;There is not an alert for deleting public IP address rule in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_delete_public_ip_address_rule;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.acc.6.r5.az.eid.2;Registro de la actividad;op.acc.6.r5;operacional;control de acceso;El registro de actividad de eliminación en los servicios de la nube debe de estar habilitado.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;There is not an alert for deleting Security Solution in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_delete_security_solution;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.acc.6.r5.az.eid.2;Registro de la actividad;op.acc.6.r5;operacional;control de acceso;El registro de actividad de eliminación en los servicios de la nube debe de estar habilitado.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;There is not an alert for deleting SQL Server firewall rule in subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7;monitor_alert_delete_sqlserver_fr;False;843e85de-3f5f-4614-967a-9f39f1fe9ba7;ENS;ENS RD 311/2022 - Categoría Alta
