PROVIDER;DESCRIPTION;SUBSCRIPTIONID;LOCATION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IDGRUPOCONTROL;REQUIREMENTS_ATTRIBUTES_MARCO;REQUIREMENTS_ATTRIBUTES_CATEGORIA;REQUIREMENTS_ATTRIBUTES_DESCRIPCIONCONTROL;REQUIREMENTS_ATTRIBUTES_NIVEL;REQUIREMENTS_ATTRIBUTES_TIPO;REQUIREMENTS_ATTRIBUTES_DIMENSIONES;REQUIREMENTS_ATTRIBUTES_MODOEJECUCION;REQUIREMENTS_ATTRIBUTES_DEPENDENCIAS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for App Services from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/AppServices;defender_ensure_defender_for_app_services_is_on;False;Defender plan App Services;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for ARM from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/Arm;defender_ensure_defender_for_arm_is_on;False;Defender plan ARM;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Azure SQL DB Servers from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/SqlServers;defender_ensure_defender_for_azure_sql_databases_is_on;False;SqlServers;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Containers from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/Containers;defender_ensure_defender_for_containers_is_on;False;Containers;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Cosmos DB from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/CosmosDbs;defender_ensure_defender_for_cosmosdb_is_on;False;Defender plan Cosmos DB;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Databases from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/SqlServers;defender_ensure_defender_for_databases_is_on;False;SqlServers;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.3;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de aplicaciones en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for DNS from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/Dns;defender_ensure_defender_for_dns_is_on;False;Defender plan DNS;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.acc.6.r1.az.eid.3;Contraseñas;op.acc.6.r1;operacional;control de acceso;Habilitar la protección de Defender para los KEY Vault;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;Defender plan Defender for KeyVaults from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/KeyVaults;defender_ensure_defender_for_keyvault_is_on;False;Defender plan KeyVaults;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;mp.s.4.r1.az.nt.4;Detección y reacción;mp.s.4.r1;medidas de protección;protección de los servicios;Habilitar defender para los servicios de bases de datos en la nube;alto;requisito;disponibilidad;automático;;FAIL;Defender plan Defender for Open-Source Relational Databases from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/OpenSourceRelationalDatabases;defender_ensure_defender_for_os_relational_databases_is_on;False;Defender plan Open-Source Relational Databases;ENS;ENS RD 311/2022 - Categoría Alta
azure;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;Azure subscription 1;global;2026-06-27 09:46:44.662891;op.mon.3.r1.az.ev.1;Correlación de eventos;op.mon.3.r1 ;operacional;monitorización del sistema;Habilitar el monitoreo del servidor en defender;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;Defender plan Defender for Servers from subscription Azure subscription 1 (843e85de-3f5f-4614-967a-9f39f1fe9ba7) is set to OFF (pricing tier not standard).;/subscriptions/843e85de-3f5f-4614-967a-9f39f1fe9ba7/providers/Microsoft.Security/pricings/VirtualMachines;defender_ensure_defender_for_server_is_on;False;Defender plan Servers;ENS;ENS RD 311/2022 - Categoría Alta
